gradNa_node1_x,gradNa_node1_y,gradNa_node2_x,gradNa_node2_y,gradNa_node3_x,gradNa_node3_y,qpWeight
-2.15084799814198213141e+01,-4.51837421860042098842e+01,3.95059828595596584933e+01,1.96726393548793119237e+01,-1.79975028781398371791e+01,2.55111028311248944078e+01,3.67134265499899977315e-04
1.79975028781398656008e+01,-2.55111028311248304590e+01,2.15084799814197680234e+01,4.51837421860040961974e+01,-3.95059828595596371770e+01,-1.96726393548792657384e+01,3.67134265499999994965e-04
-2.15084799814197680234e+01,-4.51837421860040961974e+01,3.95059828595596371770e+01,1.96726393548792657384e+01,-1.79975028781398691535e+01,2.55111028311248304590e+01,3.67134265499999994965e-04
-2.15084799814197005219e+01,-4.51837421860041743571e+01,3.95059828595595661227e+01,1.96726393548793474508e+01,-1.79975028781398727062e+01,2.55111028311248375644e+01,3.67134265499899977315e-04
-3.95059828595596087553e+01,-1.96726393548793652144e+01,1.79975028781398158628e+01,-2.55111028311248624334e+01,2.15084799814197964452e+01,4.51837421860042240951e+01,3.67134265499899977315e-04
-2.15084799814197999979e+01,-4.51837421860042383059e+01,3.95059828595596158607e+01,1.96726393548793687671e+01,-1.79975028781398158628e+01,2.55111028311248695388e+01,3.67134265499899977315e-04
-3.95052718633156061401e+01,-1.96736471779321604458e+01,1.79971789738594623032e+01,-2.55106437032414312682e+01,2.15080928894561438369e+01,4.51842908811736023722e+01,3.67140872999899975371e-04
-3.95059828595596016498e+01,-1.96726393548793190291e+01,1.79975028781398478372e+01,-2.55111028311248091427e+01,2.15084799814197467072e+01,4.51837421860041246191e+01,3.67134265499999994965e-04
-3.95059828595595234901e+01,-1.96726393548792479748e+01,1.79975028781398513900e+01,-2.55111028311248837497e+01,2.15084799814196721002e+01,4.51837421860041246191e+01,3.67134265499999994965e-04
-2.15084799814197715762e+01,-4.51837421860041743571e+01,3.95059828595595661227e+01,1.96726393548792692911e+01,-1.79975028781397980993e+01,2.55111028311249121714e+01,3.67134265499899977315e-04
-3.95059828595596016498e+01,-1.96726393548792088950e+01,1.79975028781398123101e+01,-2.55111028311249370404e+01,2.15084799814197893397e+01,4.51837421860041530408e+01,3.67134265499899977315e-04
-3.95059828595596087553e+01,-1.96726393548793652144e+01,1.79975028781398158628e+01,-2.55111028311248624334e+01,2.15084799814197964452e+01,4.51837421860042240951e+01,3.67134265499899977315e-04
-2.06792364894349844917e+01,-4.34430259131561271602e+01,3.02613711459084235855e+01,2.54022154052488680076e-01,-9.58213465647344087017e+00,4.31890037591036417552e+01,3.81856457999999983691e-04
9.58302773329793389223e+00,-4.31871275796011246939e+01,2.06783381598544870883e+01,4.34411386986419998379e+01,-3.02613658931524227569e+01,-2.54011119040867983099e-01,3.81873046999899978630e-04
-2.06789639335483919069e+01,-4.34411439513287618297e+01,3.02622816711308608717e+01,2.54018805996894525556e-01,-9.58331773758246718842e+00,4.31871251453318620861e+01,3.81861490999900021325e-04
-2.06783381598545012992e+01,-4.34411386986419501000e+01,3.02613658931524405205e+01,2.54011119040789823398e-01,-9.58302773329793922130e+00,4.31871275796011602210e+01,3.81873046999899978630e-04
9.58242463378181597022e+00,-4.31890013249553845753e+01,2.06798622904229674191e+01,4.34430311662991925914e+01,-3.02622869242047869420e+01,-2.54029841343800910636e-01,3.81844902500000024387e-04
3.02622869242048047056e+01,2.54029841343726803249e-01,-9.58242463378182485201e+00,4.31890013249554058916e+01,-2.06798622904229851827e+01,-4.34430311662991357480e+01,3.81844902500000024387e-04
9.58242463378177333766e+00,-4.31890013249555195785e+01,2.06798622904230313679e+01,4.34430311662992494348e+01,-3.02622869242048047056e+01,-2.54029841343729800851e-01,3.81844902499900006737e-04
9.58213465647349416088e+00,-4.31890037591035707010e+01,2.06792364894349489646e+01,4.34430259131559779462e+01,-3.02613711459084413491e+01,-2.54022154052414295133e-01,3.81856457999999983691e-04
-2.06798622904229318920e+01,-4.34430311662991925914e+01,3.02622869242047372040e+01,2.54029841343799023257e-01,-9.58242463378180175937e+00,4.31890013249553845753e+01,3.81844902500000024387e-04
9.58242463378175202138e+00,-4.31890013249554911567e+01,2.06798622904229851827e+01,4.34430311662992849620e+01,-3.02622869242047372040e+01,-2.54029841343800910636e-01,3.81844902500000024387e-04
-2.06792364894350555460e+01,-4.34430259131561271602e+01,3.02613711459085266142e+01,2.54022154052489623766e-01,-9.58213465647347284460e+00,4.31890037591036417552e+01,3.81856457999900020250e-04
-2.06798622904229993935e+01,-4.34430311662992423294e+01,3.02622869242047549676e+01,2.54029841343727025293e-01,-9.58242463378175912680e+00,4.31890013249555124730e+01,3.81844902500000024387e-04
-2.06792364894349312010e+01,-4.34430259131560134733e+01,3.02613711459084200328e+01,2.54022154052488124965e-01,-9.58213465647348527909e+00,4.31890037591035351738e+01,3.81856457999999983691e-04
